year,importer1,importer2,flow1
2017,Mission Park,Assembly,2
2017,Broadway,Central,999
2017,Boston Univ. West,Reservoir,2
2017,Roxbury Crossing,Copley,4
2017,Park Street,Back Bay,167
2017,Airport,Brookline Village,67
2017,Quincy Center,Maverick,198
2017,Copley,Riverside,932
2017,Andrew,Downtown Crossing,3612
2017,Beaconsfield,Boston Univ. East,0
2017,Arlington,Blandford Street,92
2017,Andrew,Griggs Street,20
2017,Boston Univ. West,Revere Beach,10
2017,South Station,Pleasant Street,56
2017,Newton Highlands,Prudential,0
2017,Oak Grove,Massachusetts Ave.,699
2017,Suffolk Downs,Longwood Medical Area,11
2017,Packards Corner,Pleasant Street,38
2017,Hawes Street,Riverside,3
2017,Mattapan,Harvard Ave.,1
2017,Prudential,Revere Beach,177
2017,Brookline Village,Summit Ave.,0
2017,Saint Paul Street,Assembly,16
2017,Butler,Government Center,0
2017,Fields Corner,Chestnut Hill,30
2017,Woodland,Babcock Street,6
2017,Sutherland Road,Riverside,3
2017,Government Center,Valley Road,3
2017,Coolidge Corner,Stony Brook,15
2017,Pleasant Street,Roxbury Crossing,0
2017,Boston Univ. East,Beachmont,12
2017,Courthouse,Haymarket,47
2017,JFK/Umass,Prudential,281
2017,Bowdoin,Summit Ave.,1
2017,Boston Univ. Central,Beachmont,9
2017,World Trade Center,Coolidge Corner,14
2017,Brigham Circle,Shawmut,36
2017,Beaconsfield,Aquarium,9
2017,Science Park,Kendall/MIT,46
2017,Copley,Orient Heights,720
2017,Warren Street,Capen Street,0
2017,Boston Univ. Central,Hawes Street,0
2017,Jackson Square,Arlington,5
2017,Chinatown,Haymarket,1082
2017,Alewife,Packards Corner,14
2017,Wonderland,Forest Hills,91
2017,Alewife,Braintree,165
2017,Suffolk Downs,Charles/MGH,18
2017,Valley Road,Green Street,0
2017,Assembly,Newton Centre,2
2017,Allston Street,Blandford Street,186
2017,Warren Street,Courthouse,7
2017,Community College,Shawmut,288
2017,Chestnut Hill,Longwood Medical Area,7
2017,Roxbury Crossing,Charles/MGH,217
2017,Riverside,Charles/MGH,136
2017,Chiswick Road,Longwood,4
2017,Northeastern University,Harvard,178
2017,Stony Brook,Kenmore,57
2017,Airport,Oak Grove,168
2017,Longwood Medical Area,Brookline Village,0
2017,Roxbury Crossing,South Station,271
2017,Sutherland Road,Fields Corner,3
2017,Riverside,Green Street,22
2017,Community College,South Station,323
2017,Chestnut Hill Ave.,Boston Univ. East,35
2017,Fenwood Road,Alewife,14
2017,Kendall/MIT,Wellington,400
2017,Harvard,Woodland,36
2017,Tufts Medical Center,Aquarium,66
2017,Fields Corner,Boylston,69
2017,Community College,Sutherland Road,11
2017,Northeastern University,Sutherland Road,18
2017,Heath Street,Woodland,2
2017,Andrew,Riverway,5
2017,Saint Mary Street,Davis,35
2017,Government Center,Butler,0
2017,Quincy Center,Riverway,7
2017,Warren Street,Waban,1
2017,Mattapan,Chestnut Hill,2
2017,Fenwood Road,Forest Hills,7
2017,Englewood Ave.,Fairbanks Street,10
2017,Andrew,Oak Grove,54
2017,Wellington,Tufts Medical Center,1329
2017,Bowdoin,Kent Street,2
2017,North Quincy,Boylston,122
2017,Butler,Cedar Grove,616
2017,Oak Grove,Brigham Circle,75
2017,Pleasant Street,Reservoir,2
2017,Heath Street,Savin Hill,2
2017,Maverick,Waban,23
2017,Sullivan Square,Boston Univ. Central,9
2017,Boston College,Griggs Street,158
2017,Braintree,Kenmore,1233
2017,Airport,Quincy Adams,48
2017,Boylston,Riverway,118
2017,Back of the Hill,Sullivan Square,0
2017,Quincy Center,Kenmore,421
2017,Airport,Charles/MGH,95
2017,Airport,JFK/Umass,320
2017,Hynes Convention Center,Boston Univ. East,264
2017,Boston Univ. West,Hawes Street,0
2017,Prudential,Newton Centre,15
2017,Symphony,Roxbury Crossing,4
2017,Revere Beach,Forest Hills,95
2017,Massachusetts Ave.,Green Street,1388
2017,Quincy Center,Quincy Center,91
2017,Beaconsfield,Wood Island,3
2017,Downtown Crossing,Airport,639
2017,Cleveland Circle,Stony Brook,0
2017,Assembly,Warren Street,2
2017,Boston Univ. East,Airport,26
2017,Aquarium,Chestnut Hill,28
2017,Oak Grove,Packards Corner,24
2017,Museum of Fine Arts,Broadway,34
2017,Symphony,Ashmont,59
2017,Museum of Fine Arts,Copley,836
2017,Allston Street,Warren Street,41
2017,Malden Center,Stony Brook,133
2017,Blandford Street,Summit Ave.,0
2017,Oak Grove,Beachmont,31
2017,Brookline Hills,Capen Street,0
2017,Coolidge Corner,Dean Road,377
2017,Downtown Crossing,Pleasant Street,24
2017,Orient Heights,Arlington,445
2017,Fenway,Englewood Ave.,9
2017,Saint Paul Street,Boylston,479
2017,Boston Univ. East,Brookline Village,10
2017,Boston Univ. East,Mission Park,0
2017,Boston Univ. West,Symphony,8
2017,Savin Hill,Fenway,25
2017,Copley,Pleasant Street,448
2017,Forest Hills,Longwood,4
2017,Brigham Circle,Newton Centre,4
2017,Englewood Ave.,Longwood Medical Area,3
2017,Newton Highlands,Boylston,229
2017,Airport,Chestnut Hill,72
2017,Capen Street,South Station,0
2017,Fenway,Malden Center,105
2017,Jackson Square,Riverside,18
2017,Griggs Street,JFK/Umass,51
2017,Copley,Stony Brook,148
2017,Chestnut Hill,Summit Ave.,9
2017,Symphony,Museum of Fine Arts,219
2017,Sutherland Road,Braintree,0
2017,Riverside,Downtown Crossing,0
2017,Blandford Street,Science Park,3
2017,North Station,Cleveland Circle,48
2017,Northeastern University,Revere Beach,45
2017,Alewife,Summit Ave.,10
2017,Brandon Hall,Revere Beach,0
2017,Boylston,Wood Island,138
2017,Washington Street,Kendall/MIT,46
2017,Riverway,Chestnut Hill Ave.,0
2017,Roxbury Crossing,Andrew,150
2017,Longwood Medical Area,Newton Highlands,3
2017,Davis,Allston Street,16
2017,Boylston,Blandford Street,200
2017,Copley,Washington Square,389
2017,Massachusetts Ave.,Hynes Convention Center,98
2017,Community College,Aquarium,56
2017,Community College,Sullivan Square,1009
2017,Bowdoin,Hawes Street,1
2017,Beaconsfield,Lechmere,13
2017,Babcock Street,Reservoir,6
2017,Riverside,Sutherland Road,5
2017,Wood Island,Englewood Ave.,6
2017,Kenmore,Allston Street,379
2017,Sutherland Road,Museum of Fine Arts,4
2017,Community College,Quincy Adams,121
2017,Saint Mary Street,Suffolk Downs,2
2017,Wood Island,Broadway,50
2017,Hawes Street,Maverick,11
2017,Capen Street,Park Street,0
2017,Allston Street,Andrew,14
2017,Hynes Convention Center,Savin Hill,210
2017,Savin Hill,Reservoir,9
2017,Prudential,South Street,0
2017,Forest Hills,Symphony,13
2017,Hynes Convention Center,Quincy Adams,367
2017,Brigham Circle,Assembly,19
2017,Wonderland,Riverway,9
2017,Symphony,Babcock Street,10
2017,Wollaston,Science Park,10
2017,Newton Highlands,Courthouse,3
2017,Longwood Medical Area,Summit Ave.,0
2017,Heath Street,Summit Ave.,3
2017,Oak Grove,Ashmont,37
2017,Fields Corner,Roxbury Crossing,193
2017,Stony Brook,Government Center,1
2017,Englewood Ave.,Charles/MGH,20
2017,Central,Green Street,287
2017,Woodland,Central,32
2017,Kenmore,Roxbury Crossing,25
2017,Warren Street,World Trade Center,35
2017,Boston Univ. Central,Cleveland Circle,1
2017,Braintree,Boylston,88
2017,Mission Park,Arlington,73
2017,Davis,State Street,174
2017,Fenwood Road,Davis,19
2017,Government Center,Boston Univ. East,39
2017,Shawmut,Museum of Fine Arts,18
2017,Bowdoin,Beaconsfield,1
2017,Roxbury Crossing,Central Ave.,1
2017,Wellington,Newton Highlands,32
2017,Alewife,Riverway,13
